# Bill of Materials (BoM)

| Item Number | Description              | Quantity | Unit Cost | Total Cost |
|-------------|--------------------------|----------|-----------|------------|
| 1           | STM32 Microcontroller    | 1        | $5.00     | $5.00      |
| 2           | Induction Coil           | 1        | $10.00    | $10.00     |
| 3           | MOSFET                   | 2        | $2.50     | $5.00      |
| 4           | Capacitor 10uF           | 2        | $0.10     | $0.20      |
| 5           | Resistor 1k Ohm          | 5        | $0.05     | $0.25      |
| 6           | Heat Sink                | 1        | $3.00     | $3.00      |
| 7           | Power Supply (12V)       | 1        | $15.00    | $15.00     |
| 8           | PCB Board                | 1        | $2.00     | $2.00      |
|             | **Total**                |          |           | **$40.45**|
